TARGET,cus_employername,profit_loss_after_cost,agrgrp_writeoff
1.0,British Gas,350.25,
1.0,Guys And St Thomas Nhs Trust,904.0,
0.0,Ejasonics,-186.0,1.0
0.0,Derby Unitex,-161.0,1.0
0.0,Nhs,-13.5,
0.0,3D Marketing Ltd,-161.0,1.0
0.0,Protocol National,-148.5,1.0
1.0,Anglian Cnc,591.5,1.0
,Oxfordshire & Buckinghamshire Mental Health Trust,76.36,
1.0,Webrecruit Ireland,335.25,
,British Army,14.0,
,Sainsburys,50.36,
1.0,Dundee City Council,270.25,1.0
0.0,Slough Comunnity Leisure,-233.5,1.0
1.0,British Gas,167.68,1.0
1.0,Mitchells & Butler - Harvester Lincoln,897.5,1.0
,Cruise1st,17.34,
1.0,Great Western Hospital,472.21,
1.0,Stokemandeville Hospital,337.5,
,University Of Ulster,1.5,
0.0,Affinion International,-149.76,1.0
1.0,Enterprise,227.69,
1.0,Northern Gas Networks,144.0,
1.0,Mitie Security,552.5,
1.0,Royal London,416.5,
1.0,Bradford Building Supplies,520.6,1.0
0.0,Clark Computers,-186.0,1.0
1.0,Army,1254.0,
,Abercorn Care Home/European Care,55.53,
0.0,Asda,-181.0,1.0
1.0,Prestige Insurance,353.75,
1.0,Wastecare,884.54,
0.0,Emcor,-201.0,1.0
,Argos,64.65,
1.0,Arch Initiatives,918.74,
1.0,Boots Contract Manufacturing,269.0,
0.0,Hmcs,-136.0,1.0
,Sodexo,31.5,
1.0,Icts Ltd / Mitie,195.25,
1.0,Humbercare Ltd,163.35,
1.0,Schlumberger,884.0,
0.0,Avante,-136.0,1.0
1.0,Croydon Council,548.98,
0.0,Whitbread,-38.76,1.0
0.0,Kelly Services,-196.0,1.0
0.0,Alberto Culvor,-233.11,1.0
0.0,Obas Uk,-298.5,1.0
1.0,Essex County Council - St George's Infant School,219.0,1.0
1.0,British Midland Internationa,235.01,1.0
1.0,Kwik-Fit Insurance Services,326.0,1.0
0.0,Orange,-236.0,1.0
0.0,Morrisons,-144.75,1.0
1.0,Multipart,444.0,
1.0,Vine Property Management,1180.25,
1.0,The Manchester College,202.34,1.0
1.0,Oxford Radcliffe Nhs Trust,361.5,
1.0,Shell Uk Oil,1191.5,
1.0,Euro Car Parks,261.14,1.0
1.0,Mills,226.72,
1.0,John Lewis,666.5,
1.0,Winifred Dell Care Centre,226.5,
0.0,Westgate Handling,-186.0,1.0
,Camberley Auto Factors,33.2,
1.0,Indesit Company,621.5,
0.0,Fineline Aluminium Ltd,-156.25,
1.0,Halfords,819.0,
0.0,Neu Era Marketing,-4.75,
,British Army,46.5,
1.0,British Army,878.06,
1.0,Lordswood Leisure Centre,1017.75,
1.0,Newcastle Nhs Trust - Freeman Road,264.0,
1.0,Brantano Uk,179.0,
1.0,Swinton,492.34,
,Northern Case,39.0,
,Hrm Home Care,46.94,
1.0,Axiom Housing Association,722.75,
1.0,Manpower Uk,722.33,
,Regenda,16.25,
1.0,Cable & Wireless Plc,794.94,
0.0,City Electrical Factors,-271.0,1.0
